"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1250380395.621,333.030,10.775,3.74e-23,402.027,0.020,597.031250,0.000,0.000,0.996,"hbuMhtK2Td","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/WW8H5ccQDF/hbuMhtK2Td.png",5.657
1252052619.439,411.865,17.339,6.06e-23,1813.655,1.000,3569.449219,0.000,0.000,0.996,"O6dlrXGMot","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/slrUXeKoX2/O6dlrXGMot.png",5.657
1251204912.204,269.285,10.435,3.45e-23,670.199,1.000,1309.808960,0.000,0.000,0.996,"7Zdvmcakxm","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7loWv9agFn/7Zdvmcakxm.png",5.657
1241046871.822,411.865,49.450,1.85e-22,1924.455,1.500,3818.320801,0.000,0.000,0.996,"XHCSYH41mT","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JWf3YQahYU/XHCSYH41mT.png",5.657
1251236124.239,115.113,17.680,6.86e-23,542.950,0.625,1040.344238,0.000,0.000,0.995,"9XUskKuenw","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NNz8bbuzqf/9XUskKuenw.png",5.657
1243254107.496,269.285,58.714,1.97e-22,2513.775,1.078,4981.806152,0.000,0.000,0.995,"JECbRhtQ5F","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/an0ItslLhA/JECbRhtQ5F.png",5.657
1238184541.362,262.065,19.108,6.24e-23,3422.333,0.272,6760.003418,0.000,0.000,0.995,"z4WoNmeOtr","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/aqcraivGct/z4WoNmeOtr.png",5.657
1250231341.944,217.741,22.580,7.24e-23,1024.795,0.875,2003.846436,0.000,0.000,0.995,"6gF82ODOht","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/uJv4Nr0yei/6gF82ODOht.png",5.657
1250675731.271,333.030,71.525,2.48e-22,1022.817,1.500,2007.802856,0.000,0.000,0.994,"n3O0py937S","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TmzDOdaRLV/n3O0py937S.png",5.657
1249841552.509,217.741,40.124,1.30e-22,3492.269,0.813,6946.707520,0.000,0.000,0.994,"Rjq5dhDQ26","L1","Repeating_Blips","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/bjCA8klc0Q/Rjq5dhDQ26.png",5.657
