GPStime,peakFreq,snr,Standard example? (y/n)
1248137467.938,30.487,10.541,y
1250454386.063,32.162,10.234,y
1251537385.313,30.487,12.712,y
1250454084.625,28.4,7.953,y
1253940492.188,45.116,75.141,y
1245361585.313,29.948,11.279,y
1245414335.375,34.96,15.232,y
1253060858.563,26.433,14.552,y
1240771382.063,32.741,10.81,y
1240363420.125,34.724,9.26,y
1239253364.125,33.752,40.776,y
1240330885.063,32.423,8.732,y
1247549489.563,29.948,10.281,y
1245000406.063,32.162,13.91,y
1238547957.938,30.193,8.734,n
1239223085.375,33.752,14.098,y
1238634970.438,30.193,8.978,n
1242072208.188,45.544,34.45,y
1238920951.813,33.005,14.087,y
1244700449.625,30.056,10.928,y
1245414936.813,32.162,10.44,y
1238554691.625,30.417,9.544,y
1253423517.688,28.388,9.32,y
1239445334.625,30.998,10.078,y
1245682001.875,29.493,12.404,n
1253592725.063,28.898,10.276,y
1238619027.438,31.851,8.335,y
1247121262.125,31.809,18.385,y
1240318923.625,30.131,9.263,n
1244058924.125,28.669,9.844,y
1242833942.875,30.92,11.335,y
1238971395.938,29.137,18.312,y
1248763623.438,25.056,14.191,y
1243649262.813,30.487,7.721,n
1246068161.563,31.594,10.971,y
1244700616.063,31.035,10.246,y
1242847518.125,28.669,13.307,y
1253416200.625,28.941,8.887,y
1245294750.313,31.035,8.701,n
1239964391.125,32.808,13.574,y
1250783562.125,30.92,16.957,y
1249460278.063,31.594,9.299,y
1238667526.188,31.851,9.105,n
1244980998.875,32.11,12.902,y
1245000470.188,31.594,12.328,n
1240319695.125,30.998,29.159,y
1248763499.813,28.898,7.964,y
1253655334.375,30.92,19.615,y
1248763725.313,28.388,11.211,y
1253229151.938,29.948,13.871,y
1251557133.313,31.035,11.499,n
1238561223.313,33.005,10.043,y
1244954208.188,33.93,9.079,y
1245111313.813,24.178,17.938,y
1253229730.875,26.835,12.563,y
1242314169.875,34.631,10.32,y
1238738824.938,30.736,8.06,n
1238908110.875,31.89,20.56,y
1238642387.563,30.193,10.208,y
1241074322.625,33.347,12.09,y
1248798769.375,30.341,19.29,y
1243650417.125,23.29,17.317,y
1248763581.625,30.341,8.663,n
1244064017.188,31.594,8.248,n
1247975736.188,32.741,52.253,y
1252541512.313,33.93,8.251,y
1245366732.563,29.948,12.522,y
1240106522.688,32.423,9.181,y
1253940716.938,53.986,38.672,y
1250735635.125,28.4,11.043,y
1240425555.688,25.268,10.773,y
1251536510.438,32.741,9.347,y
1253941797.125,31.509,14.851,y
1238976422.125,30.706,9.212,n
1249516750.188,28.388,11.767,y
1253423789.375,23.511,14.517,y
1243975456.938,31.035,7.526,n
1247969973.625,34.305,16.304,y
1238534272.625,29.847,9.668,n
1247446952.938,32.162,8.485,n
1249331149.813,29.418,17.411,y
1244055387.375,31.509,12.514,y
1239173470.125,31.59,7.66,n
1243462001.125,33.663,13.435,y
1253296027.094,89.064,9.603,n
1245633355.063,36.306,13.076,y
1239964199.125,30.131,18.629,y
1244939544.125,31.509,14.447,y
1240321701.875,30.706,10.283,y
1253409374.125,31.509,9.746,n
1238983162.375,26.645,10.516,y
1253661683.563,31.594,13.269,y
1246931827.875,30.056,13.345,y
1250038769.813,28.898,11.592,y
1253421087.813,28.898,8.646,y
1239232085.875,34.397,25.409,y
1253297757.875,23.734,25.475,y
1253656246.438,31.035,16.462,y
1238565341.625,33.752,9.317,y
1250731317.875,26.085,15.151,y
