GPStime,peakFreq,snr,Standard example? (y/n)
1260626914.773,30.734,7.921,y
1262957600.992,27.308,8.152,y
1262105333.891,34.378,10.509,n
1259261272.555,30.734,8.183,y
1259215759.285,26.015,8.647,y
1259207026.313,37.349,11.345,y
1260547302.070,30.734,8.745,y
1262312955.570,27.308,7.77,n
1260552271.617,30.734,12.862,y
1260611541.063,32.162,12.14,y
1262377214.031,29.735,10.002,y
1259260956.125,19.099,7.558,y
1262103618.625,29.216,10.324,y
1260168118.625,33.347,16.023,y
1260625244.188,29.418,8.266,y
1262761905.969,31.798,9.588,y
1262913164.566,26.015,8.587,y
1262523685.742,30.734,9.162,y
1258974383.105,32.173,11.696,y
1257817928.875,33.663,7.857,y
1259266658.438,32.741,10.683,y
1257510122.898,27.308,8.962,y
1262507041.289,27.308,8.549,y
1260563642.695,27.308,11.113,y
1262184393.703,28.43,9.169,y
1260615800.375,18.92,10.942,y
1262511471.633,27.308,11.069,y
1262651336.453,32.268,8.845,y
1258971943.773,30.734,7.553,y
1258970100.461,30.734,10.107,y
1260598272.563,33.33,14.517,n
1257278761.688,29.948,11.125,n
1262523448.625,23.071,20.944,y
1262515894.875,29.216,7.66,y
1259258562.711,30.734,10.759,y
1262521502.039,30.734,10.786,y
1259446492.188,19.519,8.57,n
1259414701.707,26.015,14.156,y
1262520677.227,27.308,9.079,y
1262755852.625,26.583,13.526,y
1260559683.566,26.015,12.166,y
1262696576.066,32.173,10.494,y
1262971861.426,32.173,7.845,y
1261528398.625,30.92,16.296,y
1262105668.457,26.015,10.716,y
1260889445.258,27.308,8.405,y
1260619335.559,32.173,9.046,y
1260554090.148,27.308,8.726,y
1262521596.875,26.333,11.045,y
1262521995.445,30.734,7.593,y
1262698915.332,26.015,8.65,y
1262892222.902,32.173,10.822,y
1260559491.930,30.734,8.812,y
1259367244.211,30.734,8.432,y
1262809200.813,32.162,11.809,n
1259391335.688,32.162,10.952,y
1260266015.961,30.734,7.729,y
1260566865.137,32.173,13.355,y
1260540767.023,30.734,14.002,y
1262512677.426,26.015,14.59,y
1260580087.461,30.734,10.084,y
1258691237.703,34.378,10.279,n
1262963924.164,27.308,8.717,y
1262158068.203,30.288,8.408,y
1260618091.742,30.734,12.196,y
1262872118.953,32.268,10.305,n
1258055319.703,32.268,7.763,n
1257313254.402,32.173,8.383,y
1257982470.035,39.789,7.748,y
1262843833.141,32.268,9.626,n
1260555676.242,27.308,8.628,y
1260165872.813,32.741,9.829,n
1260589571.875,29.216,11.09,y
1259259337.539,30.734,8.828,y
1262548233.480,26.015,9.159,y
1259412229.684,26.015,9.366,y
1260161255.414,27.308,11.641,y
1262186476.289,27.308,8.445,y
1260631850.625,29.773,7.852,y
1257987351.430,34.59,10.528,n
1262310594.859,30.288,8.096,n
1257774845.539,34.59,7.77,y
1262512879.563,27.886,10.683,y
1257206414.109,28.43,7.951,y
1260898274.875,28.941,10.482,y
1260935138.828,32.268,8.757,y
1261548367.023,30.734,9.775,y
1262912750.063,24.613,10.863,n
1262331209.109,32.268,8.431,n
1262920789.125,29.216,9.274,y
1262550082.523,30.734,7.639,y
1262169094.461,30.734,7.751,n
1258969553.789,30.734,16.079,y
1262498367.617,27.308,8.36,y
1260317778.453,32.268,7.802,y
1260573713.125,24.416,12.915,n
1257353818.234,26.685,7.524,y
1262761389.805,30.734,7.619,y
1257243881.688,32.162,11.372,y
1257219654.102,30.734,7.722,y
1260590832.625,27.868,9.378,y
