GPStime,peakFreq,snr,Standard example? (y/n)
1241809639.813,20.592,48.044,y
1249416340.875,30.629,8.665,y
1241783546.813,20.592,65.84,y
1243437003.438,25.507,9.413,y
1238168338.438,34.817,9.622,y
1244642786.875,27.606,8.701,y
1250015580.813,29.948,10.245,y
1251721103.688,26.433,14.085,y
1243631891.875,30.92,11.029,y
1238175764.188,27.134,8.594,y
1238187909.109,35.205,9.418,y
1253401200.375,28.4,220.046,y
1245452644.313,33.33,225.664,y
1239166680.813,20.406,44.389,y
1243450446.031,30.749,10.215,y
1249845472.688,31.594,8.799,n
1249734821.313,26.909,9.222,y
1250517772.313,30.487,8.09,y
1241843901.063,19.174,50.948,y
1241813540.188,25.507,113.48,y
1239160079.875,19.003,51.974,y
1238510694.625,18.667,26.181,y
1252941428.844,34.003,12.052,y
1251055619.375,30.341,7.554,y
1243605412.813,30.487,7.517,y
1240709025.922,49.171,10.177,y
1243450264.188,31.035,8.005,y
1252784944.125,30.629,7.636,n
1241493636.609,64.299,13.182,n
1238514104.938,19.692,10.472,y
1243338326.375,25.356,9.481,y
1243712388.375,31.809,7.944,y
1241798577.438,19.871,63.172,y
1243258214.313,27.393,7.811,y
1239743378.625,19.003,64.37,y
1240324160.188,29.137,9.65,y
1241798387.563,30.487,127.883,y
1249037090.875,33.663,8.441,y
1239168158.938,19.692,44.484,y
1244642813.313,24.613,8.39,y
1243688545.438,31.035,7.627,y
1243257556.938,33.93,8.535,y
1243614907.375,33.347,7.626,y
1240253269.875,31.293,7.955,n
1243260642.188,25.056,7.947,y
1244206493.438,28.898,7.566,y
1239161912.188,20.046,60.092,y
1243254830.063,28.388,10.529,y
1243349591.625,30.341,8.406,y
1250193927.875,30.629,8.397,y
1241468470.563,62.203,9.189,y
1239170257.938,20.046,36.315,y
1253096080.906,20.563,43.657,y
1243446193.813,32.162,10.129,y
1244986704.016,32.268,8.984,y
1238502461.938,19.063,32.88,y
1248015669.188,24.613,8.157,y
1243347646.125,32.11,9.988,y
1240597839.938,30.193,8.221,y
1241932993.875,30.92,8.969,y
1243263686.063,26.433,9.186,y
1249839286.375,24.648,9.424,y
1253212558.875,30.629,9.42,y
1241804661.563,27.886,106.481,y
1252114764.313,29.948,17.071,y
1250117889.875,26.583,7.812,y
1243629466.375,27.347,7.697,y
1238833565.875,18.667,40.043,y
1251278137.375,31.213,8.569,y
1246635700.414,27.308,8.805,y
1248111773.875,25.84,8.181,y
1244397175.188,33.33,10.558,y
1247769675.688,32.162,7.919,n
1239612883.875,18.667,33.247,y
1250603642.438,26.909,7.863,y
1241803742.313,19.174,45.541,y
1253463468.313,33.33,7.772,y
1241850847.688,31.594,132.814,y
1247751317.938,35.965,10.306,y
1241000802.438,31.594,8.248,n
1241896258.156,29.735,8.136,y
1238175766.563,25.268,9.667,y
1238517135.563,20.773,48.125,y
1238176984.125,31.293,10.173,y
1245754226.188,31.035,7.652,y
1243437010.398,27.308,8.493,y
1250342349.938,24.613,8.33,y
1253280553.188,35.162,9.986,y
1243620443.438,31.035,11.922,y
1249665468.625,25.84,10.631,y
1242316286.125,34.631,216.964,y
1253142594.313,22.918,198.13,y
1246314089.438,24.178,26.274,y
1245144142.813,24.178,10.723,y
1241978876.625,30.629,8.853,y
1253623837.656,46.775,11.292,y
1250516844.625,26.835,11.579,y
1253401208.375,28.4,192.987,y
1249667139.188,28.898,8.583,y
1248711988.375,29.773,9.586,y
1239167745.688,19.344,32.266,y
1253080417.125,18.502,43.087,y
1250262037.688,26.909,9.257,y
1241471577.906,42.028,11.505,y
1238335417.688,34.817,9.314,y
1246042211.875,23.511,9.459,y
1240124494.938,31.288,7.884,n
1251721121.063,26.909,13.639,y
1242646550.063,31.035,8.534,y
1243444299.438,29.418,7.794,y
1243713576.625,31.509,9.233,y
1243258189.188,31.035,9.568,y
1241477952.031,64.481,17.91,y
1248377911.063,30.487,8.69,y
1243611000.875,29.493,8.355,y
1253401481.313,19.174,38.037,y
1250020231.375,27.868,10.411,y
1239158060.563,20.773,63.62,y
1241792154.125,18.835,40.133,y
1244669977.531,44.338,10.518,y
1241812685.188,24.613,62.802,y
1241807292.938,25.056,81.996,y
1250879736.813,49.586,11.869,y
1243283721.125,29.493,10.887,y
1253624892.375,30.92,142.646,y
1238446548.188,48.809,8.96,y
1244551189.938,26.433,8.687,y
1243603365.125,29.493,9.622,y
1241789027.875,23.071,111.859,y
1250619419.219,27.807,8.82,y
1252067196.438,33.93,7.651,y
1243346909.031,31.798,8.196,y
1243186697.688,28.388,8.307,y
1239982594.938,33.005,8.148,y
1240587160.875,26.394,85.706,y
1252694017.563,27.393,8.697,y
1239174137.563,19.692,35.025,y
1242647795.188,32.162,8.352,y
1249674544.063,28.388,8.597,y
1250005546.563,49.119,368.302,y
1244381876.375,30.92,8.738,y
1243436722.688,32.162,11.488,y
1246608631.375,18.835,48.398,y
1243605106.813,28.388,7.953,y
1242307100.375,27.09,108.735,y
1241021434.406,46.775,12.573,y
1245069073.625,18.175,25.397,y
1249675444.063,31.035,8.09,y
1243770789.438,30.487,8.11,y
1250260235.625,28.133,9.05,y
1250342342.938,26.909,8.182,y
1239166923.188,20.773,37.837,y
1242314440.469,52.058,9.116,y
1241804393.563,20.592,12.096,y
1249781251.844,76.571,35.503,y
1253401190.125,31.809,206.484,y
1242309998.375,34.631,8.438,y
1240929503.156,25.146,8.55,y
1249663776.688,30.487,7.535,y
1243427757.188,26.433,7.598,y
1253300457.625,30.341,9.46,y
1249737050.688,29.418,8.404,y
1243713998.906,27.807,8.27,y
1252330165.563,36.65,7.524,n
1239171534.313,32.423,143.469,y
1241805876.313,19.519,39.77,y
1251731707.625,28.4,20.847,y
1242648072.875,32.723,8.172,y
1253141879.875,18.502,39.732,y
1242306829.438,53.986,18.042,y
1239733903.313,23.115,11.683,y
1239638767.875,23.121,79.41,y
1243260903.938,33.93,10.531,y
1250543144.313,22.918,18.192,y
1244472200.938,35.162,7.864,y
1240600579.375,30.998,8.267,y
1240086345.438,31.851,7.955,n
1250276677.188,26.909,8.331,y
1239173955.688,20.773,52.276,y
1241786370.938,20.228,77.531,y
1249227818.375,34.631,7.843,y
1253142834.313,19.885,66.95,y
1245490353.938,20.592,48.422,y
1253364487.625,32.11,8.976,y
1253779910.563,33.93,8.264,y
1243600953.875,29.773,11.206,y
1243606262.063,26.433,8.403,y
1251901015.625,31.809,7.608,y
1253400433.625,28.669,158.664,y
1240133370.063,19.063,46.573,y
1243183949.938,30.487,9.491,y
1246367745.438,25.507,10.299,y
1238175995.070,31.386,9.286,y
1253400865.563,25.966,77.553,y
1243436824.195,34.59,8.358,y
1247692062.125,35.626,13.312,y
1238356189.531,30.504,8.087,y
1244382675.313,28.898,7.856,y
1243595584.625,26.085,8.847,y
1240000405.188,21.146,48.987,y
1253466948.688,37.095,8.737,y
1241471168.625,31.809,8.63,n
1251210134.625,29.216,7.75,y
1241800199.938,35.162,100.275,y
1243339049.188,31.594,7.874,y
1246295914.438,29.948,9.209,y
1239674301.813,24.822,8.884,y
1243771282.852,30.734,7.693,y
1243602825.438,29.948,8.338,y
1241809122.563,24.613,115.249,y
1243265688.813,27.393,7.662,y
1246669099.688,19.174,43.4,y
1253108332.688,21.724,45.818,y
1249734650.188,28.388,9.543,y
1242267459.188,32.162,194.248,y
1245039982.125,22.006,117.542,y
1239167136.188,19.344,35.1,y
1243630704.063,35.162,7.62,y
1250278177.313,31.035,7.689,y
1253212708.188,26.909,8.996,y
1243286714.375,30.341,8.161,y
1243605628.063,25.056,8.465,y
1242740533.344,29.735,7.731,y
1253101779.125,18.835,33.262,y
1243451970.375,28.4,8.61,y
1240852285.188,31.035,8.224,y
1241468310.875,33.033,9.558,n
1242667261.563,27.886,7.816,y
1242637612.813,20.592,73.987,y
1239165448.063,21.526,63.567,y
1239681958.602,31.386,7.749,y
1253197353.438,35.162,9.055,y
1243442541.375,30.92,9.463,y
1251148440.813,28.388,8.534,y
1252784815.969,28.755,8.437,y
1250365163.813,29.948,8.55,y
1243338342.313,26.909,9.22,y
1253459811.188,31.594,8.452,y
1243257741.938,25.507,7.897,y
1243283029.813,27.886,8.088,y
1251500707.125,31.213,94.924,y
1253142052.375,18.502,59.318,y
1249663598.688,27.886,8.685,y
1240759584.563,26.909,8.226,y
1241791745.313,20.228,47.054,y
1250364594.188,27.393,7.949,y
1243611270.375,27.868,8.126,y
1241805872.313,19.871,49.771,y
1250543100.125,27.347,46.259,y
1243601123.688,30.487,8.794,y
1240921034.375,31.809,9.024,y
1241798402.688,19.174,30.417,y
1243258184.563,29.418,9.26,y
1243111858.125,28.941,9.752,y
1238510160.563,24.384,36.14,y
1250619635.375,26.333,9.953,y
1241806242.063,38.062,287.986,y
1250369289.469,25.146,8.515,y
1239166855.188,25.722,80.819,y
1253401111.125,30.629,10.095,y
